category,time,layer,mean,sd,se,ci95,N_eff
Mastication,1985-07-01,1985,23.13380668569281,5.064014548484133,0.08411628343343493,0.16486791552953245,3624.3467248589373
Mastication,1986-07-01,1986,27.23622770514248,4.774034481964999,0.07929954263780051,0.155427103570089,3624.3467248589373
Mastication,1987-07-01,1987,27.384520060724224,4.542851392239398,0.07545945447964209,0.1479005307800985,3624.3467248589373
Mastication,1988-07-01,1988,24.99237387870334,4.30045544213487,0.07143311406397077,0.1400089035653827,3624.3467248589373
Mastication,1989-07-01,1989,23.826862846077677,4.15396198196886,0.06899977085405495,0.1352395508739477,3624.3467248589373
Mastication,1990-07-01,1990,24.80456967856152,4.321006513769929,0.07177447954583592,0.1406779799098384,3624.3467248589373
Mastication,1991-07-01,1991,25.63375397646016,4.428937019265511,0.07356726921981067,0.14419184767082893,3624.3467248589373
Mastication,1992-07-01,1992,26.73942197265159,4.506318215118751,0.07485261675198901,0.14671112883389845,3624.3467248589373
Mastication,1993-07-01,1993,26.90621473564565,4.6641303237332545,0.07747396942196094,0.15184898006704345,3624.3467248589373
Mastication,1994-07-01,1994,26.122018560040708,4.906754304330086,0.08150409755927848,0.15974803121618583,3624.3467248589373
Mastication,1995-07-01,1995,26.547170700937727,5.267435887485363,0.0874952324557987,0.17149065561336543,3624.3467248589373
Mastication,1996-07-01,1996,27.12163635629807,5.18295486144184,0.08609195253561135,0.16874022696979823,3624.3467248589373
Mastication,1997-07-01,1997,28.36452412375918,5.1412395275096845,0.08539903611150511,0.16738211077855,3624.3467248589373
Mastication,1998-07-01,1998,28.659831147903063,5.1996539475418295,0.08636933425440727,0.16928389513863823,3624.3467248589373
Mastication,1999-07-01,1999,27.79046919641593,5.228772559689969,0.08685301166275404,0.17023190285899792,3624.3467248589373
Mastication,2000-07-01,2000,26.030601336987875,5.319164497515279,0.08835447533143312,0.1731747716496089,3624.3467248589373
Mastication,2001-07-01,2001,24.202952756811566,4.964973731081702,0.08247115674820538,0.16164346722648254,3624.3467248589373
Mastication,2002-07-01,2002,23.865921785422362,4.929302309476815,0.08187863329048971,0.16048212124935982,3624.3467248589373
Mastication,2003-07-01,2003,24.58366917047533,4.97245015701224,0.08259534461469373,0.1618868754447997,3624.3467248589373
Mastication,2004-07-01,2004,24.557287922259302,5.196283542208817,0.08631334982395926,0.16917416565496016,3624.3467248589373
Mastication,2005-07-01,2005,24.3411995438619,5.1710543309545915,0.08589427766997075,0.16835278423314268,3624.3467248589373
Mastication,2006-07-01,2006,23.69685219576509,5.015509882973968,0.08331059218732303,0.16328876068715314,3624.3467248589373
Mastication,2007-07-01,2007,23.380057847676404,4.683655321652836,0.07779829121118889,0.15248465077393022,3624.3467248589373
Mastication,2008-07-01,2008,20.99838098822294,4.258373433826294,0.07073410696111954,0.13863884964379428,3624.3467248589373
Mastication,2009-07-01,2009,18.020281861404815,4.773529199361348,0.07929114959423876,0.15541065320470795,3624.3467248589373
Mastication,2010-07-01,2010,17.136158573228762,5.240839943035665,0.0870534580532784,0.17062477778442564,3624.3467248589373
Mastication,2011-07-01,2011,17.700676093203523,5.852591907102966,0.09721502080310288,0.19054144077408164,3624.3467248589373
Mastication,2012-07-01,2012,19.163636216758682,6.66995100062958,0.11079183985046535,0.2171520061069121,3624.3467248589373
Mastication,2013-07-01,2013,23.281786081894342,6.565233362311315,0.109052417804789,0.21374273889738643,3624.3467248589373
Mastication,2014-07-01,2014,22.810898839397215,7.169836429328448,0.11909523313697654,0.233426656948474,3624.3467248589373
Mastication,2015-07-01,2015,23.869409052598417,7.566452150395617,0.12568325536480143,0.2463391805150108,3624.3467248589373
Mastication,2016-07-01,2016,20.14643818008731,8.644623155830512,0.14359231486977875,0.28144093714476637,3624.3467248589373
